MJD,date,state,r_x,r_y,r_z,v_x,v_y,v_z,v_inf_x,v_inf_y,v_inf_z,dv_x,dv_y,dv_z
6.0547134129059967e+04,2024-08-24,Deep Space,9.0734980924268605e-01,-4.5366080108253903e-01,1.0850325421722308e-03,1.7161508454063064e+01,3.1284359177467618e+01,2.0249164156174460e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0547229343633218e+04,2024-08-24,Deep Space,9.0829237191462076e-01,-4.5193986022514276e-01,1.0961663647978085e-03,1.7119090657250208e+01,3.1305516203172051e+01,2.0244068348352418e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0547324558206470e+04,2024-08-24,Deep Space,9.0923260104023074e-01,-4.5021775826277211e-01,1.1072973712001109e-03,1.7076638409029297e+01,3.1326588058155782e+01,2.0238921680501396e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0547419772779715e+04,2024-08-24,Deep Space,9.1017049473254386e-01,-4.4849449988153101e-01,1.1184255334256196e-03,1.7034151983877422e+01,3.1347574652459972e+01,2.0233724207023715e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0547514987352966e+04,2024-08-25,Deep Space,9.1110605111968912e-01,-4.4677008977243704e-01,1.1295508235509067e-03,1.6991631656542634e+01,3.1368475897304446e+01,2.0228475982953950e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0547610201926218e+04,2024-08-25,Deep Space,9.1203926834491111e-01,-4.4504453263135824e-01,1.1406732136829819e-03,1.6949077702037368e+01,3.1389291705088763e+01,2.0223177063957140e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0547705416499470e+04,2024-08-25,DSM Before,9.1297014456658521e-01,-4.4331783315894668e-01,1.1517926759596385e-03,1.6906490395631806e+01,3.1410021989393165e+01,2.0217827506326919e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0547705416499470e+04,2024-08-25,DSM,9.1297014456658521e-01,-4.4331783315894668e-01,1.1517926759596385e-03,1.8938718392786452e+01,3.5329753435055430e+01,2.3906960760787041e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0322279971546453e+00,3.9197314456622681e+00,3.6891332544601210e-02
6.0552654841359348e+04,2024-08-30,Deep Space,9.6390037100181791e-01,-3.4091517101315039e-01,1.8304312737585471e-03,1.6683036449844415e+01,3.6272816703188795e+01,2.3548812260077609e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0557604266219227e+04,2024-09-04,Deep Space,1.0083066412899249e+00,-2.3620097006135823e-01,2.4967009254845485e-03,1.4383743187227358e+01,3.6946526068902180e+01,2.3044759648967827e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0562553691079105e+04,2024-09-09,Deep Space,1.0461446977332611e+00,-1.2994237526507962e-01,3.1467346267493083e-03,1.2096333697928761e+01,3.7355306062123901e+01,2.2416964851466695e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0567503115938991e+04,2024-09-14,Deep Space,1.0775202435907731e+00,-2.2874207779951305e-02,3.7773626701835994e-03,9.8695477510172562e+00,3.7516811267634900e+01,2.1691545910056739e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0572452540798869e+04,2024-09-18,Deep Space,1.1026646588445947e+00,8.4333716729348251e-02,4.3861829610519886e-03,7.7422163011741603e+00,3.7458180278927109e+01,2.0895628825610393e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0577401965658748e+04,2024-09-23,Deep Space,1.1219045074306255e+00,1.9109774298581755e-01,4.9715532267538727e-03,5.7420552162510266e+00,3.7211879636118695e+01,2.0054903847048272e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0582351390518626e+04,2024-09-28,Deep Space,1.1356300498588818e+00,2.9693009640785967e-01,5.5325243786438164e-03,3.8860935075299103e+00,3.6811970436003882e+01,1.9191975782742171e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0587300815378512e+04,2024-10-03,Deep Space,1.1442666471003324e+00,4.0143914225180488e-01,6.0687385839695383e-03,2.1821657860535648e+00,3.6291268795117922e+01,1.8325530270080104e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0592250240238391e+04,2024-10-08,Deep Space,1.1482512473440143e+00,5.0432298194582903e-01,6.5803134790364502e-03,6.3088785377228296e-01,3.5679519652388009e+01,1.7470164077270020e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0597199665098269e+04,2024-10-13,Deep Space,1.1480146589310438e+00,6.0535915557880071e-01,7.0677284425935136e-03,-7.7232997300729256e-01,3.5002466535514586e+01,1.6636662004203692e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0602149089958148e+04,2024-10-18,Deep Space,1.1439692925075384e+00,7.0439270360114570e-01,7.5317226739443632e-03,-2.0355003434961993e+00,3.4281593368387725e+01,1.5832515276299294e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0607098514818033e+04,2024-10-23,Deep Space,1.1365015150675630e+00,8.0132416789071537e-01,7.9732096186387394e-03,-3.1686240076952368e+00,3.3534303474475664e+01,1.5062525777291091e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0612047939677912e+04,2024-10-28,Deep Space,1.1259675829692077e+00,8.9609849017151588e-01,8.3932086443606647e-03,-4.1826171693228416e+00,3.2774340335884681e+01,1.4329396417903906e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0616997364537790e+04,2024-11-02,Deep Space,1.1126921683526061e+00,9.8869528489554837e-01,8.7927927165674380e-03,-5.0885602200501161e+00,3.2012309620250349e+01,1.3634254482648081e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0621946789397669e+04,2024-11-07,Deep Space,1.0969686473056539e+00,1.0791206372083941e+00,9.1730498009986016e-03,-5.8972054179470916e+00,3.1256212944329022e+01,1.2977087216344865e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
